Date,Close,
05/01/2012,0.272264,0.000%
06/01/2012,0.272264,0.000%
09/01/2012,0.272264,0.000%
10/01/2012,0.272272,0.003%
11/01/2012,0.272264,-0.003%
12/01/2012,0.272272,0.003%
13/01/2012,0.272272,0.000%
16/01/2012,0.272331,0.022%
17/01/2012,0.272264,-0.025%
18/01/2012,0.272272,0.003%
19/01/2012,0.272331,0.022%
20/01/2012,0.272264,-0.025%
23/01/2012,0.272272,0.003%
24/01/2012,0.272272,0.000%
25/01/2012,0.272272,0.000%
26/01/2012,0.27225,-0.008%
27/01/2012,0.272272,0.008%
30/01/2012,0.272324,0.019%
31/01/2012,0.272257,-0.025%
01/02/2012,0.272272,0.006%
02/02/2012,0.272272,0.000%
03/02/2012,0.272264,-0.003%
06/02/2012,0.272331,0.025%
07/02/2012,0.272331,0.000%
08/02/2012,0.272331,0.000%
09/02/2012,0.272331,0.000%
10/02/2012,0.272331,0.000%
13/02/2012,0.272331,0.000%
14/02/2012,0.272331,0.000%
15/02/2012,0.272331,0.000%
16/02/2012,0.272331,0.000%
17/02/2012,0.272331,0.000%
20/02/2012,0.272331,0.000%
21/02/2012,0.272331,0.000%
22/02/2012,0.272324,-0.003%
23/02/2012,0.272324,0.000%
24/02/2012,0.272324,0.000%
27/02/2012,0.272331,0.003%
28/02/2012,0.272331,0.000%
29/02/2012,0.272331,0.000%
01/03/2012,0.272331,0.000%
02/03/2012,0.272331,0.000%
05/03/2012,0.272331,0.000%
06/03/2012,0.272331,0.000%
07/03/2012,0.272331,0.000%
08/03/2012,0.272331,0.000%
09/03/2012,0.272331,0.000%
12/03/2012,0.272331,0.000%
13/03/2012,0.272331,0.000%
14/03/2012,0.272331,0.000%
15/03/2012,0.272331,0.000%
16/03/2012,0.272331,0.000%
19/03/2012,0.272264,-0.025%
20/03/2012,0.272331,0.025%
21/03/2012,0.272331,0.000%
22/03/2012,0.272272,-0.022%
23/03/2012,0.272331,0.022%
26/03/2012,0.272331,0.000%
27/03/2012,0.272264,-0.025%
28/03/2012,0.272331,0.025%
29/03/2012,0.272331,0.000%
30/03/2012,0.272331,0.000%
02/04/2012,0.272339,0.003%
03/04/2012,0.272272,-0.025%
04/04/2012,0.272331,0.022%
05/04/2012,0.272331,0.000%
06/04/2012,0.272264,-0.025%
09/04/2012,0.272264,0.000%
10/04/2012,0.272331,0.025%
11/04/2012,0.272331,0.000%
12/04/2012,0.272331,0.000%
13/04/2012,0.272331,0.000%
16/04/2012,0.272331,0.000%
17/04/2012,0.272331,0.000%
18/04/2012,0.272331,0.000%
